Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.887821000",0.002399,5,,,130.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:11:47.910894000",0.023073,45,0x0000,0x482d,86.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.912716000",0.001822,5,,,86.0,,
Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:11:47.916608000",0.003892,45,0x482d,0x6e5f,190.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.918394000",0.001786,5,,,190.0,,
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:11:47.920981000",0.002587,45,0x0000,0xc8f0,87.0,0x0000,0xc8f0
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:11:47.924487000",0.003506,45,0x0000,0xc8f0,87.0,0x0000,0xc8f0
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:11:47.930422000",0.005935,45,0x0000,0xc8f0,88.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.932214000",0.001792,5,,,88.0,,
Sonoff Door 2,Door,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.261528000",0.329314,12,0x0a79,0x82eb,29.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.262300000",0.000772,5,,,29.0,,
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:11:48.532098000",0.269798,57,0xe694,0x0000,163.0,0xe694,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.534305000",0.002207,5,,,163.0,,
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 13, 2023 18:11:48.576128000",0.041823,50,0x0000,0xe694,89.0,0x0000,0xe694
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.578082000",0.001954,5,,,89.0,,
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:11:48.583730000",0.005648,45,0xe694,0x0000,164.0,0xe694,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.585553000",0.001823,5,,,164.0,,
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:11:48.599245000",0.013692,63,0xe694,0x0000,165.0,0xe694,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.601644000",0.002399,5,,,165.0,,
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 13, 2023 18:11:48.646143000",0.044499,50,0x0000,0xe694,90.0,0x0000,0xe694
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.648095000",0.001952,5,,,90.0,,
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:11:48.653490000",0.005395,45,0xe694,0x0000,166.0,0xe694,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:48.655313000",0.001823,5,,,166.0,,
Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:52.166308000",3.510995,74,0x482d,0xffff,191.0,0x482d,0xfffc
Sonoff Door 2,Door,Ledvance Smart+ Plug,Socket,Sonoff Door 2,Door,Coordinator,Coordinator,"Oct 13, 2023 18:11:52.690862000",0.524554,54,0x0a79,0x82eb,30.0,0x0a79,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:52.692978000",0.002116,5,,,30.0,,
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Sonoff Door 2,Door,Coordinator,Coordinator,"Oct 13, 2023 18:11:52.716394000",0.023416,54,0x82eb,0x0000,240.0,0x0a79,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:52.718505000",0.002111,5,,,240.0,,
Sonoff Door 2,Door,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,"Oct 13, 2023 18:11:53.196762000",0.478257,12,0x0a79,0x82eb,31.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:53.197534000",0.000772,5,,,31.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:55.300921000",2.103387,108,0x02ac,0xfff8,163.0,,
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Oct 13, 2023 18:11:55.619191000",0.31827,74,0x0000,0xffff,91.0,0x0000,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:57.958915000",2.339724,59,0x482d,0xffff,72.0,0x482d,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 13, 2023 18:11:57.965573000",0.006658,47,0x482d,0xffff,73.0,,
Power Plug 1,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:57.971227000",0.005654,59,0x6e5f,0xffff,124.0,0x482d,0xfffc
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:57.974205000",0.002978,77,0x0000,0x482d,92.0,0x0000,0x482d
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:57.977687000",0.003482,59,0x82eb,0xffff,241.0,0x482d,0xfffc
Philips Motion,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:57.980744000",0.003057,59,0xe5c4,0xffff,131.0,0x482d,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:57.987876000",0.007132,59,0x82eb,0xffff,242.0,0x482d,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:57.995483000",0.007607,59,0xebe5,0xffff,162.0,0x482d,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.010484000",0.015001,59,0x054f,0xffff,93.0,0x482d,0xfffc
Philips Motion,Bulb,Broadcast,Broadcast,Philips Motion,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.050957000",0.040473,74,0xe5c4,0xffff,132.0,0xe5c4,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.194112000",0.143155,59,0xe694,0xffff,167.0,0x482d,0xfffc
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.223390000",0.029278,59,0xc8f0,0xffff,131.0,,
Power Plug 1,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.225425000",0.002035,59,0x6e5f,0xffff,125.0,0x482d,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.246699000",0.021274,59,0x82eb,0xffff,243.0,0x482d,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.249735000",0.003036,59,0x17e5,0xffff,163.0,,
Philips Motion,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.256485000",0.00675,59,0xe5c4,0xffff,133.0,0x482d,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.340137000",0.083652,59,0x482d,0xffff,74.0,0x482d,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.357623000",0.017486,71,0x6e5f,0xffff,126.0,0x6e5f,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.373203000",0.01558,59,0x054f,0xffff,94.0,0x482d,0xfffc
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:58.394429000",0.021226,77,0x0000,0x482d,93.0,0x0000,0x482d
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.397276000",0.002847,5,,,93.0,,
Smart Socket,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.448245000",0.050969,59,0xe694,0xffff,168.0,0x482d,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.477064000",0.028819,59,0x09ac,0xffff,165.0,,
Power Plug 1,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.479587000",0.002523,59,0x6e5f,0xffff,127.0,0x482d,0xfffc
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.492138000",0.012551,48,0x482d,0x0000,75.0,0x482d,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.494057000",0.001919,5,,,75.0,,
Moes Bulb,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.503862000",0.009805,59,0xebe5,0xffff,164.0,0x482d,0xfffc
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:58.510605000",0.006743,62,0x0000,0x482d,94.0,0x0000,0x482d
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.512972000",0.002367,5,,,94.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:58.517524000",0.004552,45,0x0000,0x482d,95.0,0x0000,0x482d
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.519348000",0.001824,5,,,95.0,,
