Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Unknown,Unknown,"Oct 13, 2023 16:12:17.869831",0.001791,5,,,0x0002,170.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.875733",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.877526",0.001793,5,,,0x0002,171.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:18.566659",,51,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.568660",0.002001,5,,,0x0002,172.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:18.585343",0.016683,55,0x054f,0x0000,0x8861,133.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.587486",0.002143,5,,,0x0002,133.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:18.590702",0.003216,55,0x054f,0x0000,0x8861,134.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.592844",0.002142,5,,,0x0002,134.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:18.612861",0.020017,77,0x0000,0xffff,0x8841,173.0,0x0000,0xfffc,0x1209,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:18.619555",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.621538",0.001983,5,,,0x0002,135.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:18.628226",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.630273",0.002047,5,,,0x0002,136.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:18.644393",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.646202",0.001809,5,,,0x0002,174.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:18.650737",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.652547",0.00181,5,,,0x0002,175.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:18.674990",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.676959",0.001969,5,,,0x0002,176.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:18.678994",0.002035,55,0x054f,0x0000,0x8861,137.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:18.681137",0.002143,5,,,0x0002,137.0,,,,,,AppInteraction4.pcapng
