Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 12, 2023 18:22:43.785945",,66,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.788440",0.002495,5,,,0x0002,102,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.789384",,63,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.791782",0.002398,5,,,0x0002,103,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.796261",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.798084",0.001823,5,,,0x0002,121,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.801153",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.802977",0.001824,5,,,0x0002,229,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.805745",0.002768,45,0xa209,0xc8f0,0x8861,88,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.808618",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.810410",0.001792,5,,,0x0002,88,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.813192",0.002782,77,0x482d,0xffff,0x8841,230,0x482d,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:43.818622",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.820445",0.001823,5,,,0x0002,122,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.823743",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.825566",0.001823,5,,,0x0002,231,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.829814",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.831462",0.001648,5,,,0x0002,89,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.833973",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.835796",0.001823,5,,,0x0002,123,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.838777",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.840600",0.001823,5,,,0x0002,232,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.843668",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.845491",0.001823,5,,,0x0044,108,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.847396",0.001905,5,,,0x0002,90,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.850345",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:43.852126",0.001781,5,,,0x0002,233,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:45.492087",1.639961,74,0x09ac,0xffff,0x8841,175,0x09ac,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:45.710446",0.218359,77,0xe694,0xffff,0x8841,51,0xe694,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:46.208347",0.497901,12,0x2cae,0x482d,0x8863,96,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:46.209114",0.000767,5,,,0x0002,96,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:46.789126",0.580012,74,0xc8f0,0xffff,0x8841,104,0xc8f0,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:47.882329",1.093203,77,0x0000,0xffff,0x8841,125,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:48.909643",,60,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.911946",0.002303,5,,,0x0002,105,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.953915",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.955899",0.001984,5,,,0x0002,126,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.958950",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.960934",0.001984,5,,,0x0002,234,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.964587",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.966541",0.001954,5,,,0x0002,91,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.971717",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:48.973540",0.001823,5,,,0x0002,106,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:50.463945",1.490405,77,0xe5c4,0xffff,0x8841,96,0xe5c4,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:51.208563",0.744618,12,0x2cae,0x482d,0x8863,97,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:51.209330",0.000767,5,,,0x0002,1,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:51.950694",0.741364,77,0x054f,0xffff,0x8841,191,0x054f,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:53.439004",1.488310,102,0xa209,0xffff,0x8866,92,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:56.240995",2.801991,12,0x2cae,0x482d,0x8863,98,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:56.241762",0.000767,5,,,0x0002,98,,,,,,idle3.pcapng
"Oct 12, 2023 18:22:56.280977",0.039215,68,0xebe5,0xffff,0x8841,197,0xebe5,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:22:57.098653",0.817676,77,0x82eb,0xffff,0x8841,120,0x82eb,0xfffc,0x1209,,,idle3.pcapng
