Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 12, 2023 16:13:08.710104",1.552520,12,0x2cae,0xe694,0x8863,153,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:08.710840",0.000736,5,,,0x0002,153,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:09.884543",1.173703,77,0xe5c4,0xffff,0x8841,8,0xe5c4,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:09.912430",0.027887,71,0x09ac,0xffff,0x8841,61,0x09ac,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:10.026515",0.114085,68,0xebe5,0xffff,0x8841,255,0xebe5,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:11.116515",1.090000,77,0x82eb,0xffff,0x8841,251,0x82eb,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:11.128824",0.012309,71,0x6e5f,0xffff,0x8841,49,0x6e5f,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:12.602934",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.604949",0.002015,5,,,0x0002,25,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.612796",,63,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.615195",0.002399,5,,,0x0002,114,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.638616",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.640664",0.002048,5,,,0x0002,26,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.644452",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.646468",0.002016,5,,,0x0002,73,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.649983",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.651771",0.001788,5,,,0x0002,27,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.654199",,63,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.656598",0.002399,5,,,0x0002,50,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.662322",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.664402",0.002080,5,,,0x0002,28,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.672399",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.674894",0.002495,5,,,0x0002,115,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.695142",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.701953",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.703776",0.001823,5,,,0x0002,29,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.708057",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.710169",0.002112,5,,,0x0002,30,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.712293",0.002124,45,0x482d,0x6b5f,0x8861,74,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.714085",0.001792,5,,,0x0002,74,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.718432",0.004347,54,0x482d,0x6e5f,0x8861,75,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.720513",0.002081,5,,,0x0002,75,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.726658",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.728450",0.001792,5,,,0x0002,31,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.733750",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.735830",0.002080,5,,,0x0002,32,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.738917",0.003087,107,0x6e5f,0x0000,0x886b,51,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.744183",0.005266,101,,,0x0065,136,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.748112",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.750139",0.002027,5,,,0x0002,33,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:12.751907",,66,,,,,,,,,,idel1.pcapng
