Device Name,Device Type,File Name,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.4949776,0.7502788440988457,242.0,168.0,199.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.343027,0.7594765653952069,243.0,172.0,214.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.003381,0.002253765626679,243.0,174.0,214.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.004491,0.0024738804538619,247.0,174.0,216.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,12.911235417263525,0.0235742,0.0442457073138174,247.0,175.0,217.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.4,11.502173707608488,0.190491,0.3637820729454655,247.0,175.0,204.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.6,12.973048986263793,0.1906038,0.3637093163168906,247.0,0.0,156.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,53.8,11.903780911962384,0.1906224,0.3636973505331047,247.0,0.0,123.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.4,11.28273016605467,0.1906102,0.363705047241855,186.0,0.0,110.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,51.6,7.402702209328699,0.1708335999999999,0.372271357318556,186.0,0.0,77.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,51.8,7.463243262818116,0.0042456,0.0015776887525744,186.0,0.0,44.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.005058,0.0018797451954985,187.0,9.0,81.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0053019999999999,0.001693136733994,187.0,12.0,83.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,12.911235417263525,0.0818648,0.1721684427884506,190.0,12.0,83.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,62.6,12.798437404620923,0.2088093999999999,0.2922848661816071,195.0,13.0,120.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,62.2,13.16054710108968,0.2086744,0.2924033441734208,195.0,17.0,124.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.2086722,0.2924052390667787,197.0,17.0,126.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,63.4,10.526157893552616,0.2085072,0.2925493116189132,197.0,33.0,130.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.1309754,0.2837138481935627,197.0,33.0,99.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0045142,0.0020995973899774,198.0,33.0,100.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0043828,0.002223088324831,198.0,36.0,101.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,12.911235417263525,0.3295728,0.7287156881402376,201.0,36.0,102.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,60.8,14.788509052639483,0.6384793999999999,0.8698362920091918,205.0,37.0,136.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,62.2,13.16054710108968,0.6385474,0.8697741241944945,205.0,41.0,138.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.6374306,0.8707920706565374,208.0,41.0,140.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.6374988,0.8707299219934388,208.0,47.0,142.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.311448,0.6914806244816264,208.0,47.0,112.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0029276,0.0018625405498941,209.0,47.0,113.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.8,9.148770409186143,0.0029532,0.0018564072020976,209.0,50.0,145.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.2,10.52140675005011,0.003454,0.001322984693789,209.0,50.0,114.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.2,8.899438184514796,0.3906582,0.8654703820973308,211.0,51.0,147.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.4,8.590692637965812,0.3906038,0.8655008576816664,211.0,55.0,179.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.2,8.497058314499201,0.3899405999999999,0.8658706217127937,211.0,55.0,148.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,52.0,7.582875444051551,0.3903548,0.8656395034113219,212.0,55.0,149.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.8,11.144505372604026,0.4837825999999999,0.8381675503688387,214.0,56.0,180.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,60.6,13.371611720357423,0.3656396,0.5852747625161194,217.0,56.0,182.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.0,13.92838827718412,0.3654292,0.5854380603861522,217.0,56.0,152.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.3667809999999999,0.5843973786731079,219.0,64.0,185.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.366528,0.5845935515039488,219.0,64.0,156.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.2728094,0.6011373734694924,219.0,64.0,127.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0044696,0.0033235610871473,220.0,64.0,127.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0048706,0.0029885087083694,220.0,67.0,129.2
