Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Ledvance Bulb,Bulb,"Oct 16, 2023 13:53:51.059167",0.009733,51,0x054f,0xffff,0x8841,177.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:53:51.112706",0.053539,51,0xebe5,0xffff,0x8841,176.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:53:51.123415",0.010709,51,0xc8f0,0xffff,0x8841,43.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:53:51.215923",0.092508,51,0x0000,0xffff,0x8841,218.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:53:51.229559",0.013636,51,0xe5c4,0xffff,0x8841,162.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:53:51.245862",0.016303,51,0x482d,0xffff,0x8841,122.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:53:51.560583",0.314721,51,0x0000,0xffff,0x8841,219.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Sonoff Motion 1,Motion,"Oct 16, 2023 13:53:53.486474",0.503535,12,0xb815,0x0000,0x8863,59.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:53:54.579762",1.092522,74,0x0000,0xffff,0x8841,220.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:53:54.670306",0.090544,68,0x6e5f,0xffff,0x8841,0.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:53:55.861856",1.19155,74,0xe694,0xffff,0x8841,234.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:53:56.221482",0.359626,71,0x482d,0xffff,0x8841,123.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:53:56.356307",0.134825,60,0x6e5f,0x0000,0x8861,1.0,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:53:57.792031",1.368267,74,0x054f,0xffff,0x8841,178.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:53:58.785735",0.993704,68,0xc8f0,0xffff,0x8841,44.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:53:59.349540",0.563805,74,0x09ac,0xffff,0x8841,249.0,0x09ac,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:54:00.080960",0.73142,74,0x82eb,0xffff,0x8841,124.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:54:01.224839",0.004397,54,0x482d,0x6e5f,0x8861,128.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:54:01.287071",0.005609,45,0x482d,0x6e5f,0x8861,130.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:01.318791",0.003632,45,0x6e5f,0xc8f0,0x8861,8.0,,,,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:54:01.921730",0.601155,65,0xebe5,0xffff,0x8841,177.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:54:03.991958",2.070228,74,0xe5c4,0xffff,0x8841,163.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Sonoff Motion 2,Motion,"Oct 16, 2023 13:54:06.969020",0.50453,12,0x4e52,0x0000,0x8863,243.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:54:08.796003",1.826216,74,0x0000,0xffff,0x8841,233.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:09.739903",0.9439,68,0x6e5f,0xffff,0x8841,9.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:54:10.883580",1.143677,71,0xe694,0xffff,0x8841,237.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:54:12.530423",1.646843,71,0x482d,0xffff,0x8841,132.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:54:13.787373",1.25695,68,0xc8f0,0xffff,0x8841,47.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:54:13.827147",0.039774,74,0x054f,0xffff,0x8841,179.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:54:14.457503",0.630356,106,0x09ac,0xffff,0x886a,250.0,,,,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:54:15.089925",0.632422,74,0x82eb,0xffff,0x8841,125.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:54:16.892251",1.802326,65,0xebe5,0xffff,0x8841,178.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Sonoff Door 1,Door,"Oct 16, 2023 13:54:21.236714",0.504372,12,0x3181,0x0000,0x8863,154.0,,,,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:54:21.849690",0.612209,74,0xe5c4,0xffff,0x8841,164.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:54:24.688769",2.839079,74,0x0000,0xffff,0x8841,234.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:24.746015",0.057246,106,0x6e5f,0xffff,0x886a,10.0,,,,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:54:25.903348",1.157333,74,0xe694,0xffff,0x8841,238.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:54:27.002537",0.279104,71,0x482d,0xffff,0x8841,133.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:54:28.164163",1.161626,74,0x054f,0xffff,0x8841,180.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:54:28.777225",0.613062,68,0xc8f0,0xffff,0x8841,48.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:54:30.077764",1.300539,74,0x82eb,0xffff,0x8841,126.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:54:30.794823",0.717059,74,0x09ac,0xffff,0x8841,251.0,0x09ac,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:31.196641",0.001391,106,0x6e5f,0x0000,0x886a,12.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:54:31.247905",0.00193,107,0xc8f0,0x0000,0x886b,49.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:31.260940",0.002829,55,0x6e5f,0xc8f0,0x8861,14.0,,,,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:54:31.932498",0.609618,65,0xebe5,0xffff,0x8841,179.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:54:38.713724",6.781226,74,0xe5c4,0xffff,0x8841,165.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:39.649312",0.935588,71,0x6e5f,0xffff,0x8841,17.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:54:40.846102",1.19679,74,0xe694,0xffff,0x8841,241.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:54:42.389901",1.543799,74,0x0000,0xffff,0x8841,247.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:54:43.786458",1.396557,74,0x054f,0xffff,0x8841,181.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:54:43.837887",0.051429,68,0xc8f0,0xffff,0x8841,52.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:54:44.057914",0.220027,74,0x482d,0xffff,0x8841,142.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:54:45.079689",1.021775,74,0x82eb,0xffff,0x8841,127.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:54:45.354122",0.274433,108,0x09ac,0xffff,0x886c,252.0,,,,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:54:46.937268",0.513196,65,0xebe5,0xffff,0x8841,180.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:47.668422",0.003631,50,0x6e5f,0xc8f0,0x8861,18.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:54:54.697198",7.019717,71,0x6e5f,0xffff,0x8841,19.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:54:55.784511",1.087313,74,0xe5c4,0xffff,0x8841,166.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:54:55.876776",0.092265,74,0xe694,0xffff,0x8841,246.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:54:58.771963",2.895187,68,0xc8f0,0xffff,0x8841,55.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:54:59.999441",1.227478,74,0x0000,0xffff,0x8841,251.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:55:00.096330",0.096889,104,0x82eb,0xffff,0x8868,128.0,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:55:00.395330",0.299,74,0x054f,0xffff,0x8841,182.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:00.568978",0.173648,74,0x482d,0xffff,0x8841,144.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:55:01.243039",0.00257,107,0xe694,0x0000,0x886b,251.0,,,,,,scenario1.pcapng
