Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 13, 2023 16:44:49.309776",0.060539,12,0x2cae,0x0000,0x8863,6,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:49.310543",0.000767,5,,,0x0002,6,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.048502",,48,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.051358",,48,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.054238",,48,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.057119",,48,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.083926",,48,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.086779",,48,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.088703",0.001924,5,,,0x0002,129,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.109984",,50,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.111967",0.001983,5,,,0x0002,56,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.122579",,50,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.124562",0.001983,5,,,0x0002,56,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.125013",,48,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.126932",0.001919,5,,,0x0002,130,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.161680",,50,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.163663",0.001983,5,,,0x0002,56,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.172941",0.009278,50,0x7777,0x7700,0x8861,233,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.209776",,52,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.211822",0.002046,5,,,0x0002,57,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.214453",,50,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.216435",0.001982,5,,,0x0002,234,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.233856",,45,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.235679",0.001823,5,,,0x0002,131,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.248683",0.013004,47,0xebe5,0xffff,0x8841,131,0xebe5,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.296740",0.048057,51,0xebe5,0xffff,0x8841,132,0xebe5,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.300078",,56,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.312786",0.012708,51,0x82eb,0xffff,0x8841,58,0xebe5,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.320497",0.007711,77,0x0000,0xebe5,0x8861,132,0x0000,0xebe5,0x1a09,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.323315",0.002818,5,,,0x0002,132,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.329908",,57,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.332080",0.002172,5,,,0x0002,133,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.340012",,56,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.347192",,59,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.351633",,59,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.357328",,59,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.359570",0.002242,5,,,0x0002,135,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.360500",0.000930,56,0xa209,0xffff,0x8841,152,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.364663",,56,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.369783",,56,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.373830",,58,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.376069",0.002239,5,,,0x0002,134,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.376624",,56,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.379378",0.002754,51,0x054f,0xffff,0x8841,70,0xebe5,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.393187",0.013809,51,0x6e5f,0xffff,0x8841,193,0xebe5,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.395309",,45,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.397725",0.002416,77,0x0000,0x054f,0x8861,136,0x0000,0x054f,0x1a09,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.400558",0.002833,5,,,0x0002,136,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.401572",0.001014,51,0x82eb,0xffff,0x8841,60,0xebe5,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.405257",0.003685,77,0x054f,0xebe5,0x8861,71,0x054f,0xebe5,0x1a09,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.408073",0.002816,5,,,0x0002,71,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.435341",,45,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.437163",0.001822,5,,,0x0002,135,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.438117",,52,,,,,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.440164",0.002047,5,,,0x0002,136,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:51.441099",,45,,,,,,,,,,AppInteraction1.pcapng
