Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Ledvance Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.425656000",0.011789,51,0xec7f,0xffff,40.0,0x0000,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.433059000",0.007403,51,0x4e11,0xffff,50.0,0x0000,0xfffc
Philips Lamp 3,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.449823000",0.016764,51,0x711c,0xffff,232.0,0x0000,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.454408000",0.004585,51,0x1cd8,0xffff,254.0,0x0000,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.462015000",0.007607,51,0x0000,0xffff,95.0,0x0000,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.539998000",0.077983,51,0x1e15,0xffff,62.0,0x0000,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.608517000",0.068519,74,0x4e11,0xffff,51.0,0x4e11,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.731249000",0.122732,51,0x0000,0xffff,96.0,0x0000,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.978633000",0.247384,68,0x1e15,0xffff,63.0,0x1e15,0xfffc
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:33:54.290412000",0.311779,52,0xb1bf,0x0000,68.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:33:54.292459000",0.002047,5,,,68.0,,
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:33:54.293406000",0.000947,52,0xb1bf,0x0000,69.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:33:54.295453000",0.002047,5,,,69.0,,
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:33:54.314097000",0.018644,45,0x0000,0x711c,97.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:33:54.315920000",0.001823,5,,,97.0,,
