Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Unknown,Unknown,"Oct 13, 2023 18:01:33.429967",0.002048,5,,,0x0002,5.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:33.433578",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:33.435657",0.002079,5,,,0x0002,97.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:35.896492",2.460835,74,0x054f,0xffff,0x8841,158.0,0x054f,0xfffc,0x1209,,,physicalInteraction1.pcapng
Philips Motion,Bulb,"Oct 13, 2023 18:01:36.234961",0.338469,74,0xe5c4,0xffff,0x8841,147.0,0xe5c4,0xfffc,0x1209,,,physicalInteraction1.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 18:01:36.904331",0.66937,12,0x2cae,0x054f,0x8863,92.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:36.905085",0.000754,5,,,0x0002,92.0,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:38.295230",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:38.297235",0.002005,5,,,0x0002,201.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:38.301179",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:38.303226",0.002047,5,,,0x0002,98.0,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:39.416630",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:39.418635",0.002005,5,,,0x0002,202.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:39.422524",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:39.424571",0.002047,5,,,0x0002,99.0,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:39.801372",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:39.803379",0.002007,5,,,0x0002,203.0,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:39.805564",0.002185,62,0x5db6,0xe694,0x8861,204.0,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:39.809988",0.004424,62,0x5db6,0xe694,0x8861,204.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:39.812101",,52,,,,,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:39.814340",,62,,,,,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:39.816784",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:39.818831",0.002047,5,,,0x0002,100.0,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:39.820889",,62,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:39.823225",0.002336,5,,,0x0002,204.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:39.827106",,62,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:39.829473",0.002367,5,,,0x0002,101.0,,,,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:01:40.332971",0.503498,12,0x5db6,0xe694,0x8863,205.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:40.333707",0.000736,5,,,0x0002,205.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:40.504859",0.171152,74,0x0000,0xffff,0x8841,245.0,0x0000,0xfffc,0x1209,,,physicalInteraction1.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 18:01:40.562568",0.057709,65,0xebe5,0xffff,0x8841,204.0,0xebe5,0xfffc,0x1209,,,physicalInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 13, 2023 18:01:41.548095",0.985527,71,0x09ac,0xffff,0x8841,3.0,0x09ac,0xfffc,0x1209,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:41.846245",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:41.848292",0.002047,5,,,0x0002,102.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:41.891495",,50,,,,,,,,,,physicalInteraction1.pcapng
