Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:12.200151",0.021188,51,0x09ac,0xffff,0x8841,40.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:04:12.220074",0.019923,51,0xc8f0,0xffff,0x8841,194.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:12.237744",0.01767,51,0x482d,0xffff,0x8841,137.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 14:04:12.336348",0.098604,51,0x054f,0xffff,0x8841,233.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:12.457666",0.121318,51,0x0000,0xffff,0x8841,91.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 14:04:12.682094",0.224428,74,0xe5c4,0xffff,0x8841,229.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:04:13.956815",1.274721,68,0xc8f0,0xffff,0x8841,195.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 14:04:15.135938",1.179123,74,0x82eb,0xffff,0x8841,172.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 14:04:17.102577",1.966639,65,0xebe5,0xffff,0x8841,234.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:17.403843",0.301266,74,0x482d,0xffff,0x8841,138.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 14:04:21.172594",3.768751,74,0x054f,0xffff,0x8841,234.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:21.741614",0.56902,74,0x09ac,0xffff,0x8841,41.0,0x09ac,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:24.811735",3.070121,71,0x6e5f,0xffff,0x8841,238.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:24.864522",0.052787,74,0x0000,0xffff,0x8841,92.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 14:04:25.992293",1.127771,74,0xe694,0xffff,0x8841,93.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 14:04:28.170754",2.178461,74,0xe5c4,0xffff,0x8841,230.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:28.706668",0.535914,55,0x09ac,0x0000,0x8861,42.0,0x09ac,0x0000,0x1a09,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:28.708811",0.002143,5,,,0x0002,42.0,,,,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:28.752102",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:28.754148",0.002046,5,,,0x0002,43.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:28.767360",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:28.769183",0.001823,5,,,0x0002,93.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:28.792147",,50,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:28.794130",0.001983,5,,,0x0002,94.0,,,,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:28.799657",0.005527,55,0x09ac,0x0000,0x8861,44.0,0x09ac,0x0000,0x1a09,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:28.801800",0.002143,5,,,0x0002,44.0,,,,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:28.846661",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:28.848484",0.001823,5,,,0x0002,45.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:04:28.870547",0.022063,68,0xc8f0,0xffff,0x8841,196.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 14:04:30.135942",1.265395,74,0x82eb,0xffff,0x8841,173.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.133811",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.135816",0.002005,5,,,0x0002,95.0,,,,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 14:04:31.143578",,63,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.145977",0.002399,5,,,0x0002,94.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.170649",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.172696",0.002047,5,,,0x0002,96.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.175669",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.177674",0.002005,5,,,0x0002,139.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.183184",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.184975",0.001791,5,,,0x0002,97.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:31.185464",,63,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.187863",0.002399,5,,,0x0002,239.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.210525",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.212605",0.00208,5,,,0x0002,98.0,,,,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 14:04:31.220315",,66,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.222810",0.002495,5,,,0x0002,95.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.226149",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.228261",0.002112,5,,,0x0002,99.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.231625",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.233693",0.002068,5,,,0x0002,140.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:31.241489",,66,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.243984",0.002495,5,,,0x0002,240.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.260515",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.262338",0.001823,5,,,0x0002,100.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.265959",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.267751",0.001792,5,,,0x0002,141.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.268970",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.271081",0.002111,5,,,0x0002,101.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.275706",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.277780",0.002074,5,,,0x0002,142.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.281358",,45,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.284995",,45,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.288482",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.290274",0.001792,5,,,0x0002,102.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:31.291280",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.293359",0.002079,5,,,0x0002,241.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.295074",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.297122",0.002048,5,,,0x0002,103.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:04:31.298708",,66,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.301203",0.002495,5,,,0x0002,197.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.302009",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.304025",0.002016,5,,,0x0002,143.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:31.307613",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.309629",0.002016,5,,,0x0002,242.0,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.319721",0.010092,5,,,0x0002,198.0,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.322450",0.002729,63,,,0x7861,119.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:04:31.327735",,63,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.330134",0.002399,5,,,0x0002,198.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.331404",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.333227",0.001823,5,,,0x0002,104.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.335856",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.337638",0.001782,5,,,0x0002,144.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.339008",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.340831",0.001823,5,,,0x0002,105.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:31.344921",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.346745",0.001824,5,,,0x0002,106.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.354873",,45,,,,,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:31.360236",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.362028",0.001792,5,,,0x0002,243.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:31.363155",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.364948",0.001793,5,,,0x0002,146.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:31.368768",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:31.370550",0.001782,5,,,0x0002,244.0,,,,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 14:04:32.042768",0.672218,65,0xebe5,0xffff,0x8841,235.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:33.502349",1.459581,74,0x482d,0xffff,0x8841,147.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:35.277204",,50,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:35.279188",0.001984,5,,,0x0002,107.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:35.283772",0.004584,55,0x482d,0x0000,0x8861,148.0,0x482d,0x0000,0x1a09,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:35.285915",0.002143,5,,,0x0002,148.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:35.332332",,53,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:35.334411",0.002079,5,,,0x0002,149.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:35.374606",,50,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:35.376589",0.001983,5,,,0x0002,108.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:35.381541",0.004952,55,0x482d,0x0000,0x8861,150.0,0x482d,0x0000,0x1a09,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:35.383684",0.002143,5,,,0x0002,150.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:35.429073",,53,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:35.431151",0.002078,5,,,0x0002,151.0,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 14:04:37.088376",1.657225,74,0x054f,0xffff,0x8841,235.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:38.335276",1.2469,107,0x09ac,0xffff,0x886b,46.0,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:39.810417",1.475141,51,,,,,,,,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 14:04:40.986589",1.176172,74,0xe694,0xffff,0x8841,96.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:42.155108",1.168519,74,0x0000,0xffff,0x8841,109.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
