File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
Topology_B_fix_duration_5s_index_b8.bin,1606.0048828125,472.93359375,472.474609375,388.91015625,412.4326171875,722.93359375,407.5869140625,799.7939453125,799.5791015625,518.904296875,723.90625,1200.0145874419459,600.0072937209729,451.28756360799105
Topology_A_fix_duration_5s_index_b6.bin,828.6474609375,321.90625,309.5390625,276.1953125,268.16796875,457.1435546875,282.83984375,469.99609375,469.869140625,346.7841796875,458.34375,595.8183056486365,297.90915282431826,284.6925924280384
Topology_B_fix_duration_5s_index_b32.bin,6242.173828125,1253.2626953125,1567.4501953125,1045.8984375,1395.1787109375,2009.5830078125,1081.673828125,2006.5673828125,2005.42578125,1331.6953125,2003.8154296875,5221.799244143288,2610.899622071644,3374.1530898852848
Topology_B_fix_duration_5s_index_b11.bin,2185.5322265625,821.53125,775.05859375,704.3125,679.9287109375,1139.615234375,706.060546875,1163.357421875,1162.9873046875,869.7119140625,1111.1904296875,1831.966096654236,915.983048327118,1060.1826463953091
Topology_B_fix_duration_5s_index_b64.bin,12423.732421875,2003.5546875,2468.8974609375,1682.35546875,1960.0869140625,2850.2578125,1697.23828125,2942.7919921875,2940.5,1938.09765625,2960.0205078125,9646.415519786487,4823.207759893244,6853.4528103217735
Topology_A_fix_duration_5s_index_b14.bin,1878.580078125,738.4697265625,665.6708984375,598.90625,587.6005859375,970.125,599.5966796875,986.8671875,986.5439453125,729.8017578125,992.3681640625,1578.0044915739832,789.0022457869916,1071.2057589509318
Topology_B_fix_duration_5s_index_b10.bin,1992.3896484375,715.314453125,679.474609375,621.8515625,595.84375,999.6171875,624.8115234375,1043.931640625,1043.6953125,763.2138671875,979.6669921875,1650.9013674181447,825.4506837090723,852.3011767784996
Topology_A_fix_duration_5s_index_b15.bin,2009.8154296875,844.6689453125,747.1259765625,668.16015625,656.9462890625,1076.4541015625,665.6162109375,1095.509765625,1095.1845703125,816.3486328125,1099.1474609375,1696.9992541778379,848.4996270889189,1243.258205724505
Topology_A_fix_duration_5s_index_b11.bin,1484.8740234375,586.7900390625,556.8076171875,506.83984375,492.5849609375,802.34765625,508.8388671875,822.912109375,822.720703125,621.02734375,786.2529296875,1256.622280164221,628.3111400821105,744.1280634499758
Topology_A_fix_duration_5s_index_b4.bin,566.1767578125,191.4462890625,185.8583984375,153.1796875,162.763671875,284.5146484375,159.4814453125,301.3779296875,301.2919921875,194.53125,281.556640625,320.9497109656734,160.4748554828367,182.33518161494933
Topology_A_fix_duration_5s_index_b32.bin,4240.916015625,892.80859375,1101.6865234375,734.7109375,968.650390625,1408.861328125,762.35546875,1406.849609375,1406.169921875,943.3115234375,1408.224609375,3490.3292870422315,1745.1646435211157,2195.710283643918
Topology_A_fix_duration_5s_index_b10.bin,1353.638671875,513.9794921875,497.134765625,450.20703125,434.5224609375,711.537109375,452.712890625,742.4443359375,742.234375,550.5615234375,694.3740234375,1130.2991253114199,565.1495626557099,594.2546760304009
Topology_B_fix_duration_5s_index_b14.bin,2765.0595703125,1027.0927734375,926.068359375,835.80078125,818.7568359375,1372.8349609375,838.0986328125,1401.666015625,1401.298828125,1024.5703125,1386.25390625,2326.796887143076,1163.398443571538,1570.875067414096
Topology_B_fix_duration_5s_index_b4.bin,833.3349609375,255.419921875,246.244140625,203.75390625,214.275390625,387.0087890625,211.5712890625,410.798828125,410.6611328125,257.86328125,384.9501953125,448.91889671068884,224.45944835534442,248.41186991427932
Topology_B_fix_duration_5s_index_b2.bin,447.0,110.158203125,107.91796875,82.30078125,95.4638671875,172.4931640625,83.955078125,180.6181640625,180.4404296875,110.3369140625,174.3935546875,165.677733199957,82.8388665999785,118.30768851904116
Topology_A_fix_duration_5s_index_b5.bin,697.412109375,280.1591796875,262.615234375,230.89453125,229.142578125,397.0419921875,237.2958984375,405.2880859375,405.205078125,288.267578125,394.01953125,464.7059643045489,232.35298215227445,245.36091410602265
Topology_A_fix_duration_5s_index_b7.bin,959.8828125,392.4072265625,374.275390625,338.9140625,324.591796875,547.5341796875,345.8662109375,566.7822265625,566.62109375,431.3017578125,546.0009765625,754.6762070825272,377.3381035412636,344.00988494731223
Topology_A_fix_duration_5s_index_b2.bin,303.7060546875,82.3662109375,83.9033203125,63.078125,73.56640625,130.197265625,63.9130859375,134.1474609375,134.0693359375,82.880859375,132.1298828125,125.96709812298121,62.983549061490606,91.01689037265388
Topology_B_fix_duration_5s_index_b7.bin,1412.8623046875,534.7177734375,510.2470703125,461.3125,438.1162109375,761.337890625,469.9052734375,788.888671875,788.7314453125,586.9013671875,762.46875,1091.5890554167247,545.7945277083624,475.39766590772985
Topology_A_fix_duration_5s_index_b8.bin,1091.1181640625,346.8955078125,348.1875,283.578125,304.236328125,517.6171875,295.84375,570.3564453125,570.2001953125,381.5859375,516.9521484375,833.8705405795764,416.9352702897882,323.8259022743139
Topology_B_fix_duration_5s_index_b5.bin,1026.52734375,375.3037109375,350.28125,310.02734375,304.0302734375,544.3740234375,318.58984375,556.5966796875,556.451171875,389.712890625,541.5771484375,663.2388200134455,331.6194100067228,335.748281687362
Topology_B_fix_duration_5s_index_b15.bin,2958.251953125,1185.4296875,1043.6328125,935.78515625,932.064453125,1541.361328125,932.443359375,1565.30859375,1564.8662109375,1153.9072265625,1580.431640625,2499.4867631114184,1249.7433815557092,1840.7603217234853
Topology_A_fix_duration_5s_index_b1.bin,172.470703125,30.8994140625,33.4462890625,23.76171875,28.984375,49.341796875,23.2060546875,47.921875,47.8818359375,30.3603515625,51.1806640625,57.52961238320923,28.764806191604617,45.35755976973669
Topology_B_fix_duration_5s_index_b3.bin,640.142578125,204.7822265625,192.3310546875,152.57421875,167.9833984375,308.3564453125,160.9970703125,319.1474609375,318.9736328125,200.0234375,307.4541015625,316.9875856430484,158.4937928215242,200.41161779664924
Topology_B_fix_duration_5s_index_b9.bin,1799.197265625,679.2841796875,648.7255859375,590.04296875,562.1953125,950.0126953125,597.998046875,993.1650390625,992.9111328125,730.2041015625,932.1630859375,1491.4608680287029,745.7304340143514,712.4993759862818
Topology_B_fix_duration_5s_index_b6.bin,1219.669921875,434.5048828125,414.9677734375,371.26953125,358.228515625,630.01953125,379.5166015625,649.26171875,649.064453125,466.9873046875,632.2431640625,855.9231287384764,427.9615643692382,392.355681575529
