Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 28, 2023 13:12:12.576493000",0.000766,5,,,25.0,,
"Oct 28, 2023 13:12:12.852205000",0.275712,12,0x059b,0xec7f,186.0,,
"Oct 28, 2023 13:12:12.852958000",0.000753,5,,,186.0,,
"Oct 28, 2023 13:12:13.040370000",0.187412,71,0x4e11,0xffff,142.0,0x4e11,0xfffc
"Oct 28, 2023 13:12:13.344926000",0.304556,12,0x059b,0xec7f,187.0,,
"Oct 28, 2023 13:12:13.345679000",0.000753,5,,,187.0,,
"Oct 28, 2023 13:12:13.875236000",0.529557,12,0x059b,0xec7f,188.0,,
"Oct 28, 2023 13:12:13.875990000",0.000754,5,,,188.0,,
"Oct 28, 2023 13:12:14.381998000",0.506008,12,0x059b,0xec7f,189.0,,
"Oct 28, 2023 13:12:14.382752000",0.000754,5,,,189.0,,
"Oct 28, 2023 13:12:14.401611000",0.018859,107,0x5bb9,0x8fff,166.0,,
"Oct 28, 2023 13:12:14.686748000",0.285137,52,0x0000,0xe1a6,39.0,0x0000,0xe1a6
"Oct 28, 2023 13:12:14.688765000",0.002017,5,,,39.0,,
"Oct 28, 2023 13:12:14.695969000",0.007204,63,0xe1a6,0x0000,205.0,0xe1a6,0x0000
"Oct 28, 2023 13:12:14.698368000",0.002399,5,,,205.0,,
"Oct 28, 2023 13:12:14.721234000",0.022866,52,0x0000,0xe1a6,40.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.723247000",0.002013,5,,,40.0,,
"Oct 28, 2023 13:12:14.727073000",0.003826,52,0xe1a6,0x3d95,206.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.729088000",0.002015,5,,,206.0,,
"Oct 28, 2023 13:12:14.732791000",0.003703,45,0x0000,0xe1a6,41.0,0x0000,0xe1a6
"Oct 28, 2023 13:12:14.734582000",0.001791,5,,,41.0,,
"Oct 28, 2023 13:12:14.736245000",0.001663,63,0x3d95,0x0000,216.0,0x3d95,0x0000
"Oct 28, 2023 13:12:14.738644000",0.002399,5,,,216.0,,
"Oct 28, 2023 13:12:14.748023000",0.009379,54,0x0000,0xe1a6,42.0,0x0000,0xe1a6
"Oct 28, 2023 13:12:14.750104000",0.002081,5,,,42.0,,
"Oct 28, 2023 13:12:14.757494000",0.00739,66,0xe1a6,0x0000,207.0,0xe1a6,0x0000
"Oct 28, 2023 13:12:14.759989000",0.002495,5,,,207.0,,
"Oct 28, 2023 13:12:14.793134000",0.033145,54,0x0000,0xe1a6,43.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.795216000",0.002082,5,,,43.0,,
"Oct 28, 2023 13:12:14.799087000",0.003871,54,0xe1a6,0x3d95,208.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.801167000",0.00208,5,,,208.0,,
"Oct 28, 2023 13:12:14.806479000",0.005312,45,0x0000,0xe1a6,44.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.808261000",0.001782,5,,,44.0,,
"Oct 28, 2023 13:12:14.811898000",0.003637,45,0xe1a6,0x3d95,209.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.813678000",0.00178,5,,,209.0,,
"Oct 28, 2023 13:12:14.814493000",0.000815,54,0x0000,0x711c,45.0,0x0000,0xa706
"Oct 28, 2023 13:12:14.817505000",0.003012,107,0x3d95,0x0000,217.0,,
"Oct 28, 2023 13:12:14.820720000",0.003215,54,0x0000,0x711c,45.0,0x0000,0xa706
"Oct 28, 2023 13:12:14.825520000",0.0048,54,0x711c,0xa706,95.0,,
"Oct 28, 2023 13:12:14.827695000",0.002175,107,0x3d95,0x0000,217.0,,
"Oct 28, 2023 13:12:14.835183000",0.007488,66,0x3d95,0x0000,218.0,0x3d95,0x0000
"Oct 28, 2023 13:12:14.837677000",0.002494,5,,,218.0,,
"Oct 28, 2023 13:12:14.840496000",0.002819,66,0xa706,0x0000,15.0,0xa706,0x0000
"Oct 28, 2023 13:12:14.842991000",0.002495,5,,,15.0,,
"Oct 28, 2023 13:12:14.843793000",0.000802,54,0x0000,0x711c,45.0,0x0000,0xa706
"Oct 28, 2023 13:12:14.845904000",0.002111,5,,,45.0,,
"Oct 28, 2023 13:12:14.870934000",0.02503,45,0x0000,0xe1a6,46.0,0x0000,0xe1a6
"Oct 28, 2023 13:12:14.872728000",0.001794,5,,,46.0,,
"Oct 28, 2023 13:12:14.876494000",0.003766,12,0x059b,0xec7f,190.0,,
"Oct 28, 2023 13:12:14.877247000",0.000753,5,,,190.0,,
"Oct 28, 2023 13:12:14.879247000",0.002,52,0x0000,0x711c,47.0,0x0000,0xa706
"Oct 28, 2023 13:12:14.881294000",0.002047,5,,,47.0,,
"Oct 28, 2023 13:12:14.887380000",0.006086,5,,,96.0,,
"Oct 28, 2023 13:12:14.894903000",0.007523,45,0x0000,0xe1a6,48.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.896696000",0.001793,5,,,48.0,,
"Oct 28, 2023 13:12:14.899829000",0.003133,63,0xa706,0x0000,16.0,,
"Oct 28, 2023 13:12:14.904785000",0.004956,45,0xe1a6,0x3d95,210.0,0x0000,0x3d95
"Oct 28, 2023 13:12:14.906578000",0.001793,5,,,210.0,,
