Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Unknown,Unknown,5.0,0.0,0.002026,0.0002484089370372974,169.0,1.0,112.66666666666667
Ledvance Smart+ Plug,Socket,74.0,0.0,1.318467,0.0,96.0,96.0,96.0
Moes Bulb,Bulb,65.0,0.0,0.537935,0.0,147.0,147.0,147.0
Philips Lamp 1,Bulb,74.0,0.0,0.010931,0.0,232.0,232.0,232.0
Power Plug 1,Socket,63.6,1.3416407864998738,0.006804,0.0013953083888517263,123.0,121.0,121.8
Power Plug 2,Socket,65.0,1.7320508075688772,0.0028423333333333334,0.0021041996895098465,207.0,205.0,206.0
Smart Socket,Socket,64.5,2.1213203435596424,0.008154999999999999,1.979898987322228e-05,171.0,170.0,170.5
Unknown,Unknown,15.175,22.55237493889757,0.002105325,0.0005862380450915996,231.0,2.0,131.15
Ledvance Bulb,Bulb,74.0,0.0,3.032004,0.0,134.0,134.0,134.0
Power Plug 1,Socket,68.0,0.0,4.725691,0.0,129.0,129.0,129.0
Philips Motion,Bulb,74.0,0.0,0.737616,0.0,126.0,126.0,126.0
Smart Socket,Socket,74.0,0.0,0.410509,0.0,172.0,172.0,172.0
Power Plug 2,Socket,65.0,0.0,0.068006,0.0,208.0,208.0,208.0
Unknown,Unknown,107.0,0.0,0.162588,0.0,216.0,216.0,216.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.260237,0.0,97.0,97.0,97.0
Moes Bulb,Bulb,65.0,0.0,0.720443,0.0,148.0,148.0,148.0
Philips Lamp 1,Bulb,74.0,0.0,1.109785,0.0,233.0,233.0,233.0
Philips Motion,Bulb,54.0,1.1547005383792515,0.025167250000000002,0.02458201283289606,130.0,127.0,128.5
Unknown,Unknown,5.0,0.0,0.0020683333333333335,7.202962353550564e-05,130.0,16.0,91.16666666666667
Ledvance Bulb,Bulb,74.0,0.0,0.521513,0.0,135.0,135.0,135.0
Power Plug 1,Socket,52.5,10.606601717798213,0.14879799999999999,0.20325218739782358,131.0,130.0,130.5
Unknown,Unknown,5.0,0.0,0.0020127499999999998,0.0002051217118363306,234.0,18.0,128.25
Power Plug 1,Socket,68.0,0.0,1.819624,0.0,132.0,132.0,132.0
Philips Motion,Bulb,74.0,0.0,0.976449,0.0,131.0,131.0,131.0
Smart Socket,Socket,71.0,0.0,0.234982,0.0,173.0,173.0,173.0
Ledvance Z3 Plug,Socket,74.0,0.0,1.833288,0.0,217.0,217.0,217.0
Power Plug 2,Socket,65.0,0.0,0.626083,0.0,209.0,209.0,209.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.351622,0.0,98.0,98.0,98.0
Moes Bulb,Bulb,65.0,0.0,0.529999,0.0,149.0,149.0,149.0
Power Plug 1,Socket,64.5,1.7320508075688772,0.0022735,0.002109300120893184,134.0,133.0,133.5
Power Plug 2,Socket,66.0,0.0,0.00331875,0.0023298226506181397,212.0,210.0,210.75
Smart Socket,Socket,64.5,2.1213203435596424,0.0078385,1.3435028842545573e-05,175.0,174.0,174.5
Sonoff Temperature,Temperature,53.0,0.0,0.005471,0.0,213.0,213.0,213.0
Unknown,Unknown,13.973684210526315,17.68108906102982,0.0025141052631578948,0.0013168505997772537,242.0,0.0,140.75675675675674
Philips Lamp 1,Bulb,71.0,0.0,0.18632,0.0,243.0,243.0,243.0
Unknown,Unknown,28.0,0.0,3.553907,0.0,,,
Ledvance Bulb,Bulb,74.0,0.0,2.867114,0.0,136.0,136.0,136.0
Power Plug 1,Socket,68.0,0.0,1.097606,0.0,139.0,139.0,139.0
Power Plug 1,Socket,52.5,9.0,0.008502000000000001,0.00406372152917331,143.0,140.0,141.5
Smart Socket,Socket,71.0,0.0,1.291782,0.0,176.0,176.0,176.0
Unknown,Unknown,5.0,0.0,0.002015625,0.00019535823321711911,245.0,32.0,140.0
Philips Motion,Bulb,74.0,0.0,0.929109,0.0,132.0,132.0,132.0
Ledvance Z3 Plug,Socket,74.0,0.0,0.439567,0.0,218.0,218.0,218.0
Power Plug 2,Socket,68.0,0.0,1.331122,0.0,214.0,214.0,214.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.386431,0.0,99.0,99.0,99.0
Moes Bulb,Bulb,65.0,0.0,0.728773,0.0,150.0,150.0,150.0
Philips Lamp 1,Bulb,71.0,0.0,1.122985,0.0,246.0,246.0,246.0
Ledvance Bulb,Bulb,74.0,0.0,5.922691,0.0,137.0,137.0,137.0
Power Plug 1,Socket,68.0,0.0,0.000951,0.0,145.0,145.0,145.0
Unknown,Unknown,11.666666666666666,16.32993161855452,0.28090433333333337,0.6790628297760573,247.0,35.0,178.83333333333334
Smart Socket,Socket,71.0,0.0,1.267111,0.0,177.0,177.0,177.0
Philips Motion,Bulb,74.0,0.0,0.914262,0.0,133.0,133.0,133.0
Unknown,Unknown,72.0,0.0,0.278556,0.0,219.0,219.0,219.0
Power Plug 2,Socket,68.0,0.0,1.707748,0.0,217.0,217.0,217.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.386833,0.0,100.0,100.0,100.0
Philips Lamp 1,Bulb,71.0,0.0,0.950578,0.0,248.0,248.0,248.0
Moes Bulb,Bulb,65.0,0.0,0.532095,0.0,151.0,151.0,151.0
Power Plug 1,Socket,64.5,2.1213203435596424,0.001728,0.0011822825381439075,147.0,146.0,146.5
Power Plug 2,Socket,66.0,0.0,0.001516,0.0010439945721442553,220.0,219.0,219.25
Smart Socket,Socket,65.25,1.5,0.00610275,0.002567594642851554,179.0,178.0,178.75
Sonoff Temperature,Temperature,53.0,0.0,0.04373633333333333,0.06840434201374453,221.0,183.0,208.33333333333334
Unknown,Unknown,11.6,22.88873342164348,0.0022206285714285717,0.0008274597585990756,255.0,0.0,140.11428571428573
Ledvance Bulb,Bulb,74.0,0.0,6.636203,0.0,138.0,138.0,138.0
Power Plug 1,Socket,68.0,0.0,1.084895,0.0,152.0,152.0,152.0
Ledvance Z3 Plug,Socket,74.0,0.0,0.458301,0.0,220.0,220.0,220.0
Smart Socket,Socket,71.0,0.0,0.703476,0.0,180.0,180.0,180.0
Power Plug 2,Socket,68.0,0.0,0.119109,0.0,222.0,222.0,222.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.325847,0.0,101.0,101.0,101.0
Philips Motion,Bulb,74.0,0.0,0.12005,0.0,134.0,134.0,134.0
Unknown,Unknown,74.0,0.0,1.664516,0.0,191.0,191.0,191.0
Philips Lamp 1,Bulb,68.0,0.0,2.32308,0.0,2.0,2.0,2.0
Smart Socket,Socket,52.5,9.0,0.32982475,0.6437761439446557,184.0,181.0,182.5
Unknown,Unknown,5.0,0.0,0.0020238333333333336,0.00023142810258623884,184.0,50.0,138.5
Ledvance Z3 Plug,Socket,50.666666666666664,5.131601439446884,0.9412663333333332,1.5539785614577615,224.0,221.0,222.33333333333334
Unknown,Unknown,5.0,0.0,0.002926333333333333,0.002360564988867425,224.0,52.0,165.83333333333334
Power Plug 1,Socket,68.0,0.0,1.111863,0.0,153.0,153.0,153.0
Ledvance Bulb,Bulb,74.0,0.0,1.255736,0.0,139.0,139.0,139.0
Smart Socket,Socket,74.0,0.0,0.006899,0.0,185.0,185.0,185.0
Ledvance Z3 Plug,Socket,74.0,0.0,0.356301,0.0,225.0,225.0,225.0
Power Plug 2,Socket,68.0,0.0,2.537927,0.0,223.0,223.0,223.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.322986,0.0,102.0,102.0,102.0
Power Plug 1,Socket,63.0,0.0,0.0032093333333333336,0.0018716971799234332,154.0,154.0,154.0
Power Plug 2,Socket,66.0,0.0,0.0026058888888888885,0.0017763251704322356,227.0,224.0,226.0
Smart Socket,Socket,64.5,2.1213203435596424,0.007814,5.515432893255128e-05,187.0,186.0,186.5
Unknown,Unknown,20.444444444444443,36.03129151520894,0.008422555555555556,0.036373736864819255,227.0,3.0,101.5
Philips Motion,Bulb,74.0,0.0,1.370133,0.0,135.0,135.0,135.0
Philips Lamp 1,Bulb,71.0,0.0,3.965516,0.0,11.0,11.0,11.0
Power Plug 1,Socket,68.0,0.0,2.425049,0.0,160.0,160.0,160.0
Ledvance Bulb,Bulb,74.0,0.0,0.022354,0.0,140.0,140.0,140.0
Smart Socket,Socket,74.0,0.0,1.197078,0.0,188.0,188.0,188.0
Ledvance Z3 Plug,Socket,74.0,0.0,0.841952,0.0,226.0,226.0,226.0
Power Plug 2,Socket,68.0,0.0,2.084987,0.0,228.0,228.0,228.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.296555,0.0,103.0,103.0,103.0
Moes Bulb,Bulb,65.0,0.0,0.244727,0.0,154.0,154.0,154.0
Philips Motion,Bulb,74.0,0.0,3.767493,0.0,136.0,136.0,136.0
Philips Lamp 1,Bulb,71.0,0.0,3.183589,0.0,12.0,12.0,12.0
Ledvance Bulb,Bulb,74.0,0.0,0.272317,0.0,141.0,141.0,141.0
Power Plug 1,Socket,68.0,0.0,0.684956,0.0,161.0,161.0,161.0
Smart Socket,Socket,74.0,0.0,0.91397,0.0,189.0,189.0,189.0
Ledvance Z3 Plug,Socket,74.0,0.0,1.305672,0.0,227.0,227.0,227.0
Power Plug 2,Socket,68.0,0.0,1.629646,0.0,229.0,229.0,229.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.334864,0.0,104.0,104.0,104.0
