Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:52:24.290816000",0.027662,77,0x4e11,0xffff,110.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:52:41.229433000",0.452049,77,0x4e11,0xffff,111.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:52:58.660712000",1.031866,77,0x4e11,0xffff,112.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:53:13.535290000",0.737541,77,0x4e11,0xffff,113.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:53:30.111433000",0.067905,77,0x4e11,0xffff,114.0,0x4e11,0xfffc
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,"Oct 27, 2023 16:50:40.298971000",0.298971,77,0x5bb9,0xffff,138.0,0x5bb9,0xfffc
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:50:51.687660000",0.003609,52,0xa706,0x5bb9,61.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:50:52.269864000",0.012419,52,0x5bb9,0xa706,146.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:50:53.246486000",0.032718,55,0x5bb9,0xa706,149.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:50:53.282464000",0.028124,52,0x5bb9,0xa706,150.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:50:54.336012000",0.003845,52,0xa706,0x5bb9,70.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:50:54.392301000",0.040694,50,0x5bb9,0xa706,152.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:50:55.269569000",0.869691,55,0x5bb9,0xa706,153.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:50:55.305733000",0.028424,52,0x5bb9,0xa706,154.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,"Oct 27, 2023 16:50:57.777845000",0.540577,77,0x5bb9,0xffff,156.0,0x5bb9,0xfffc
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,"Oct 27, 2023 16:51:12.479003000",0.662523,77,0x5bb9,0xffff,160.0,0x5bb9,0xfffc
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,"Oct 27, 2023 16:52:02.953545000",0.813139,77,0x5bb9,0xffff,185.0,0x5bb9,0xfffc
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,"Oct 27, 2023 16:52:07.832744000",0.469569,77,0x5bb9,0xffff,190.0,0x5bb9,0xfffc
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:52:08.896995000",0.002938,52,0xa706,0x5bb9,116.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:52:08.907612000",0.003684,55,0x5bb9,0xa706,192.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:52:09.089157000",0.002947,55,0x5bb9,0xa706,195.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:52:09.135936000",0.001694,52,0x5bb9,0xa706,197.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:52:10.089607000",0.05796,55,0x5bb9,0xa706,198.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:52:14.026662000",0.003713,52,0xa706,0x5bb9,132.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:52:16.678474000",0.001984,52,0xa706,0x5bb9,138.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:52:16.687904000",0.002336,52,0xa706,0x5bb9,138.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:52:19.759179000",0.003629,52,0xa706,0x5bb9,151.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:52:22.896580000",0.003817,52,0xa706,0x5bb9,161.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 16:52:24.255406000",0.032842,55,0x5bb9,0xa706,234.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:52:28.045275000",0.003617,52,0xa706,0x5bb9,175.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:53:26.437302000",0.00387,54,0xa706,0x5bb9,200.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 16:53:26.545106000",0.003623,54,0xa706,0x5bb9,203.0,0x0000,0x5bb9
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,"Oct 27, 2023 16:53:26.840422000",0.114965,74,0x5bb9,0xffff,3.0,0x5bb9,0xfffc
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 27, 2023 16:50:41.569656000",1.270685,52,0x0000,0xe1a6,151.0,0x0000,0xe1a6
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:41.578967000",0.007293,63,0xe1a6,0x0000,196.0,0xe1a6,0x0000
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 27, 2023 16:50:41.605329000",0.023963,52,0x0000,0x3d95,152.0,0x0000,0x3d95
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:41.614546000",0.007199,63,0x3d95,0x0000,220.0,0x3d95,0x0000
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 27, 2023 16:50:41.618262000",0.001318,45,0x0000,0xe1a6,153.0,0x0000,0xe1a6
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 27, 2023 16:50:41.639155000",0.019102,54,0x0000,0xe1a6,154.0,0x0000,0xe1a6
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:41.648437000",0.007202,66,0xe1a6,0x0000,197.0,0xe1a6,0x0000
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 27, 2023 16:50:41.659723000",0.008792,45,0x0000,0x3d95,155.0,0x0000,0x3d95
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 27, 2023 16:50:41.678552000",0.017035,54,0x0000,0x3d95,156.0,0x0000,0x3d95
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:41.687764000",0.007133,66,0x3d95,0x0000,221.0,0x3d95,0x0000
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.691965000",0.001706,54,0x0000,0xa706,157.0,0x0000,0xa706
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:41.701609000",0.007573,66,0xa706,0x0000,55.0,0xa706,0x0000
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 27, 2023 16:50:41.723378000",0.019275,45,0x0000,0xe1a6,158.0,0x0000,0xe1a6
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.731307000",0.007929,52,0x0000,0xa706,159.0,0x0000,0xa706
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.735119000",0.003812,52,0x0000,0xa706,159.0,0x0000,0xa706
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.738541000",0.003422,52,0x0000,0xa706,159.0,0x0000,0xa706
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.743118000",0.004577,52,0x0000,0xa706,159.0,0x0000,0xa706
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:41.749695000",0.006577,63,0xa706,0x0000,57.0,0xa706,0x0000
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:41.754804000",0.002711,63,0xa706,0x0000,57.0,0xa706,0x0000
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 27, 2023 16:50:41.758953000",0.00175,45,0x0000,0x3d95,160.0,0x0000,0x3d95
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.768911000",0.008177,45,0x0000,0xa706,161.0,0x0000,0xa706
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.773795000",0.004884,45,0x0000,0xa706,161.0,0x0000,0xa706
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.780112000",0.004523,45,0x0000,0xa706,162.0,0x0000,0xa706
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 27, 2023 16:50:41.787426000",0.005519,52,0x0000,0xa706,163.0,0x0000,0xa706
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:50:42.216879000",0.427437,53,0xe1a6,0x0000,198.0,0xe1a6,0x0000
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 27, 2023 16:50:42.231517000",0.012559,45,0x0000,0xe1a6,164.0,0x0000,0xe1a6
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 27, 2023 16:50:43.413047000",0.967441,48,0x0000,0xec7f,166.0,0x0000,0xec7f
