File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
Topology_B_fix_duration_5s_index_b50.npy,12423.908203125,2031.51171875,2211.7373046875,1410.53125,1831.75390625,2827.0751953125,1397.443359375,2367.984375,2365.3046875,1673.814453125,2648.697265625,8860.027358342826,4430.013679171413,6231.504545224044
Topology_A_fix_duration_5s_index_b12.npy,2141.2265625,419.4208984375,417.3173828125,282.65625,363.3837890625,608.7763671875,290.0791015625,556.06640625,555.5732421875,372.751953125,587.0244140625,1445.1805758964808,722.5902879482404,1058.8495285392132
Topology_A_fix_duration_5s_index_b24.npy,4241.091796875,745.9765625,814.525390625,535.58984375,729.455078125,1079.7998046875,545.294921875,977.576171875,976.8154296875,668.28125,1025.5302734375,2805.309801314508,1402.654900657254,2104.209522894169
Topology_A_fix_duration_5s_index_b13.npy,2141.2265625,441.6708984375,452.62109375,304.46484375,389.58984375,619.2958984375,313.798828125,568.3095703125,567.9013671875,395.021484375,597.6220703125,1530.3804405619037,765.1902202809518,1093.995781355247
Topology_A_fix_duration_5s_index_b18.npy,4241.091796875,664.3935546875,631.92578125,441.95703125,680.21484375,1047.744140625,434.1337890625,916.1572265625,915.240234375,589.9853515625,986.5703125,2287.3123347536703,1143.6561673768351,1709.6575806174972
Topology_A_fix_duration_5s_index_b9.npy,2141.2265625,349.4072265625,297.287109375,210.96484375,295.9892578125,561.216796875,223.2216796875,498.919921875,498.55078125,308.958984375,533.7353515625,1091.9294954198515,545.9647477099257,939.0299221140084
Topology_B_fix_duration_5s_index_b46.npy,12423.908203125,1950.3974609375,2066.728515625,1327.6328125,1731.033203125,2801.30078125,1308.359375,2330.6044921875,2327.7490234375,1598.50390625,2626.6572265625,8394.32536192709,4197.162680963545,5808.0143827776465
Topology_B_fix_duration_5s_index_b6.npy,1606.1806640625,246.171875,226.052734375,175.9296875,225.970703125,419.98046875,182.98828125,379.2880859375,379.0048828125,233.5087890625,396.5537109375,915.0483527500813,457.52417637504067,752.7813653587917
Topology_B_fix_duration_5s_index_b10.npy,3151.5703125,512.9755859375,466.123046875,312.9765625,435.79296875,807.51953125,325.4482421875,714.515625,713.95703125,445.7060546875,763.5908203125,1741.005068442333,870.5025342211665,1451.7851529468767
Topology_A_fix_duration_5s_index_b26.npy,4241.091796875,777.181640625,877.2578125,585.94140625,757.9189453125,1095.5078125,584.9775390625,995.84375,994.9228515625,703.93359375,1041.369140625,3040.7034604428814,1520.3517302214407,2179.8659972663363
Topology_B_fix_duration_5s_index_b57.npy,12423.908203125,2144.486328125,2389.572265625,1551.953125,1995.623046875,2881.1435546875,1545.3994140625,2446.9853515625,2444.162109375,1799.0537109375,2703.0537109375,9664.647606458262,4832.323803229131,6803.891162197436
Topology_A_fix_duration_5s_index_b31.npy,4241.091796875,842.57421875,960.1181640625,658.13671875,818.6337890625,1135.666015625,652.5439453125,1039.53515625,1038.6728515625,791.6640625,1070.212890625,3457.2882135344253,1728.6441067672126,2274.72515854522
Topology_B_fix_duration_5s_index_b64.npy,12423.908203125,2148.849609375,2404.7021484375,1565.27734375,2009.318359375,2880.994140625,1554.5205078125,2446.7470703125,2444.0498046875,1804.474609375,2706.3544921875,9646.597402216641,4823.2987011083205,6855.773769546165
Topology_A_fix_duration_5s_index_b47.npy,8440.822265625,1348.462890625,1434.658203125,955.15625,1270.0966796875,1931.08984375,947.8251953125,1635.216796875,1633.4423828125,1142.720703125,1813.3408203125,5611.23758127567,2805.618790637835,3825.0964620532404
Topology_A_fix_duration_5s_index_b39.npy,8440.822265625,1204.6328125,1242.6083984375,825.94921875,1144.228515625,1873.384765625,800.677734375,1564.8076171875,1562.8662109375,1069.3125,1719.7275390625,4841.815643971385,2420.9078219856924,3309.3940190309427
Topology_B_fix_duration_5s_index_b1.npy,1606.1806640625,49.197265625,31.0,41.328125,101.0185546875,207.7900390625,38.0068359375,215.2109375,214.8046875,81.9521484375,209.349609375,141.5397250883047,70.76986254415235,137.14547477502447
Topology_A_fix_duration_5s_index_b14.npy,2141.2265625,461.822265625,487.6806640625,327.84765625,416.396484375,626.158203125,335.41015625,574.314453125,573.8759765625,414.81640625,604.6689453125,1608.5005403795485,804.2502701897743,1130.572148824657
Topology_B_fix_duration_5s_index_b21.npy,6242.349609375,1011.65625,1023.3798828125,685.96484375,964.271484375,1520.0966796875,667.6220703125,1338.3310546875,1336.923828125,884.0234375,1432.7568359375,3918.8399295945424,1959.4199647972712,2848.2896218099154
Topology_B_fix_duration_5s_index_b22.npy,6242.349609375,1030.4921875,1066.2412109375,707.671875,983.9833984375,1527.427734375,692.9345703125,1352.4013671875,1351.04296875,900.84765625,1443.556640625,4036.1607331987934,2018.0803665993967,2949.2297002849705
Topology_A_fix_duration_5s_index_b4.npy,1091.2939453125,126.666015625,107.373046875,88.1796875,124.5791015625,257.623046875,92.0908203125,220.923828125,220.62890625,129.2265625,239.28515625,441.36415837484657,220.68207918742328,396.6890255627139
Topology_B_fix_duration_5s_index_b13.npy,3151.5703125,611.333984375,627.7470703125,410.37109375,537.578125,866.515625,422.1630859375,783.7353515625,783.0146484375,540.7578125,829.29296875,2235.2042508807813,1117.6021254403906,1629.376067215603
Topology_A_fix_duration_5s_index_b56.npy,8440.822265625,1454.001953125,1628.69140625,1087.6015625,1414.9990234375,1970.48046875,1077.0048828125,1704.228515625,1702.5693359375,1263.3271484375,1853.587890625,6352.098638111232,3176.049319055616,4405.740341658258
Topology_B_fix_duration_5s_index_b28.npy,6242.349609375,1154.927734375,1325.8154296875,862.83203125,1108.56640625,1587.5810546875,854.3212890625,1419.2529296875,1417.9765625,1027.5263671875,1499.5400390625,4888.273962835554,2444.136981417777,3379.659252605171
Topology_B_fix_duration_5s_index_b7.npy,1606.1806640625,286.6123046875,273.3564453125,208.96484375,258.87890625,441.873046875,216.4580078125,401.8876953125,401.6015625,269.8564453125,420.6806640625,1064.7210995866756,532.3605497933378,815.6517428928366
