Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Lamp 1,Bulb,"Oct 28, 2023 13:14:36.476456",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.478535",0.002079,5,,,0x0002,162.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:36.526089",,48,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.527994",0.001905,5,,,0x0002,55.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.557924",0.02993,55,0xec7f,0x0000,0x8861,60.0,0xec7f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.560067",0.002143,5,,,0x0002,60.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.568533",0.008466,55,0xec7f,0x0000,0x8861,61.0,0xec7f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.570675",0.002142,5,,,0x0002,61.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.579140",0.008465,55,0xec7f,0x0000,0x8861,62.0,0xec7f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.581283",0.002143,5,,,0x0002,62.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.594420",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.596402",0.001982,5,,,0x0002,63.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.603760",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.605807",0.002047,5,,,0x0002,64.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.633932",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.635979",0.002047,5,,,0x0002,65.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:36.636901",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.638710",0.001809,5,,,0x0002,56.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:36.653844",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.655654",0.00181,5,,,0x0002,57.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:36.659835",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.661804",0.001969,5,,,0x0002,58.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:36.666466",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.668276",0.00181,5,,,0x0002,59.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:36.676145",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.678114",0.001969,5,,,0x0002,60.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.680832",0.002718,55,0xec7f,0x0000,0x8861,66.0,0xec7f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.682975",0.002143,5,,,0x0002,66.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.702600",0.019625,55,0xec7f,0x0000,0x8861,67.0,0xec7f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.704743",0.002143,5,,,0x0002,67.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.727762",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.729585",0.001823,5,,,0x0002,68.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:36.753555",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:36.755378",0.001823,5,,,0x0002,69.0,,,,,,physicalInteraction1.pcapng
Aqara Button,Button,"Oct 28, 2023 13:14:37.196832",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.198910",0.002078,5,,,0x0002,143.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 28, 2023 13:14:37.203935",0.005025,57,0x1cd8,0x0000,0x8861,163.0,0xc31c,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.206142",0.002207,5,,,0x0002,163.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 28, 2023 13:14:37.252006",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.254084",0.002078,5,,,0x0002,164.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 28, 2023 13:14:37.461923",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.464002",0.002079,5,,,0x0002,90.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:37.476373",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.478165",0.001792,5,,,0x0002,61.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:37.551368",0.073203,55,0xec7f,0x0000,0x8861,70.0,0xec7f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.553511",0.002143,5,,,0x0002,70.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:37.595650",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.597697",0.002047,5,,,0x0002,71.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:37.610791",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.612600",0.001809,5,,,0x0002,62.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:37.641937",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.643907",0.00197,5,,,0x0002,63.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:37.647187",0.00328,55,0xec7f,0x0000,0x8861,72.0,0xec7f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.649330",0.002143,5,,,0x0002,72.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:37.693022",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:37.694845",0.001823,5,,,0x0002,73.0,,,,,,physicalInteraction1.pcapng
