File Name,Original Size (KB),Start Time,End Time,Delta Time (s),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB),Category
powerSmartPowerPlug2.pcapng,43.328125,2023-10-15 18:14:09.000000,2023-10-15 18:19:26.121116,317.12111592292786,11.0712890625,12.6455078125,9.453125,11.310546875,14.7958984375,9.6123046875,14.1962890625,13.3154296875,10.0615234375,13.8486328125,30.58238685141563,15.291193425707815,16.47598031378557,Power
powerSmartSocket3.pcapng,46.48046875,2023-10-15 15:44:22.000000,2023-10-15 15:49:27.278599,305.27859902381897,13.7783203125,14.9619140625,11.765625,13.779296875,17.919921875,11.888671875,17.4052734375,16.701171875,12.423828125,17.1357421875,33.02757314738471,16.513786573692354,18.090819291372867,Power
powerLedvanceBulb3.pcapng,41.203125,2023-10-15 16:02:12.000000,2023-10-15 16:07:08.417838,296.41783809661865,11.814453125,12.90234375,10.12109375,11.7880859375,15.5634765625,10.2392578125,15.060546875,14.5478515625,10.7802734375,14.900390625,29.134408126536528,14.567204063268264,15.54539382664028,Power
powerPhilipsLamp3-2.pcapng,32.59765625,2023-10-15 19:14:45.000000,2023-10-15 19:20:03.897430,318.8974299430847,9.6337890625,10.650390625,8.30078125,9.7890625,12.7392578125,8.4189453125,12.4716796875,11.7607421875,8.8623046875,12.17578125,22.79336867111127,11.396684335555635,11.773584137866315,Power
powerPhilipsLamp3-1.pcapng,40.453125,2023-10-15 19:09:05.000000,2023-10-15 19:14:13.164871,308.16487097740173,10.4462890625,11.978515625,8.9375,10.77734375,14.14453125,9.1103515625,13.58203125,12.8125,9.5283203125,13.2470703125,28.60332005708611,14.301660028543054,15.053204675709647,Power
powerLedvancePlug3.pcapng,31.265625,2023-10-15 16:23:59.000000,2023-10-15 16:29:05.967346,306.96734595298767,9.4208984375,10.251953125,8.08203125,9.4599609375,12.3466796875,8.177734375,12.0869140625,11.650390625,8.51171875,11.9599609375,21.985915263742147,10.992957631871072,11.105361799409357,Power
powerPhilipsLamp2-3.pcapng,33.4609375,2023-10-15 19:03:25.000000,2023-10-15 19:08:29.145185,304.1451849937439,9.3330078125,10.447265625,7.98046875,9.5087890625,12.353515625,8.12890625,11.9365234375,11.40234375,8.5146484375,11.8056640625,23.736337121311188,11.868168560655594,12.23574601652135,Power
powerLedvancePlug1.pcapng,37.734375,2023-10-15 16:11:03.000000,2023-10-15 16:15:59.376936,296.3769359588623,10.7607421875,11.73046875,9.16015625,10.8466796875,14.2119140625,9.2236328125,13.86328125,13.3017578125,9.66796875,13.640625,26.524539647093256,13.262269823546628,13.678969787641956,Power
powerPhilipsLamp1-2.pcapng,17.80859375,2023-10-15 17:49:50.000000,2023-10-15 17:54:54.997096,304.99709606170654,4.6123046875,5.3984375,3.94921875,4.765625,6.18359375,3.994140625,5.955078125,5.5693359375,4.1943359375,5.763671875,12.254642463506354,6.127321231753177,5.6546199788659495,Power
scenario2.pcapng,408.12890625,2023-10-17 12:51:48.000000,2023-10-17 13:15:36.016918,1428.0169179439545,155.349609375,149.1533203125,129.6328125,142.291015625,203.3359375,133.5087890625,185.4609375,185.3818359375,145.9638671875,195.2880859375,291.81128686667466,145.90564343333733,206.28184478083423,Scenario
scenario1.pcapng,415.296875,2023-10-16 13:45:15.000000,2023-10-16 14:09:01.391120,1426.3911199569702,156.931640625,152.3466796875,131.640625,144.0732421875,205.7490234375,135.0908203125,187.9658203125,187.8759765625,148.77734375,198.462890625,296.5310711651985,148.26553558259926,212.17522777829765,Scenario
