Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Moes Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:33.427054000",0.003349,28,0x1e15,,50.0,,
Smart Socket,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:33.437073000",0.010019,28,0xe1a6,,0.0,,
Ledvance Smart+ Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:33.453264000",0.016191,28,0x0112,,124.0,,
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:33.458262000",0.004998,28,0x0000,,249.0,,
Ledvance Z3 Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:33.460807000",0.002545,28,0x4e11,,9.0,,
Ledvance Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:33.472117000",0.01131,28,0xec7f,,100.0,,
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:33.513051000",0.040934,28,0x3d95,,163.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:34.146072000",0.001889,5,,,251.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:34.151574000",0.001886,5,,,1.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:34.161258000",0.001983,5,,,51.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:34.200785000",0.002071,5,,,252.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:34.206639000",0.002078,5,,,2.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:34.218060000",0.001983,5,,,52.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:36.840330000",0.002079,5,,,3.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:36.855294000",0.001792,5,,,253.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:36.986314000",0.001889,5,,,254.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:36.991766000",0.001887,5,,,4.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.001507000",0.001983,5,,,53.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.042123000",0.002081,5,,,255.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.048046000",0.002071,5,,,5.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.068764000",0.001983,5,,,54.0,,
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.820629000",0.751865,10,,0xffff,211.0,,
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.830667000",0.010038,28,0x0000,,0.0,,
Philips Lamp 1,Bulb,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.838843000",0.008176,28,0x1cd8,,119.0,,
Ledvance Smart+ Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.846117000",0.007274,28,0x0112,,125.0,,
Ledvance Z3 Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.875665000",0.029548,28,0x4e11,,10.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.896397000",0.020732,28,0x8e15,,55.0,,
Smart Socket,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.902417000",0.00602,28,0xe1a6,,6.0,,
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:34:37.928405000",0.025988,28,0xa706,,111.0,,
