Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.102729000",0.004972,57,0xe5c4,0x0000,119.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.105896000",0.003167,57,0xe5c4,0x0000,119.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.110086000",0.00419,57,0xe5c4,0x0000,119.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.138489000",0.028403,57,0xe5c4,0x0000,120.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.142750000",0.004261,57,0xe5c4,0x0000,120.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.146018000",0.003268,57,0xe5c4,0x0000,120.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.150193000",0.004175,57,0xe5c4,0x0000,120.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.184474000",0.034281,57,0xe5c4,0x0000,121.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.189717000",0.005243,57,0xe5c4,0x0000,121.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.193975000",0.004258,57,0xe5c4,0x0000,121.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.199444000",0.005469,57,0xe5c4,0x0000,121.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.249788000",0.050344,57,0xe5c4,0x0000,122.0,0x054f,0x0000
